,id,deviceid,speed,lead_speed,servertime,attributes
19,35327991,8,0.0,0.0,2018-04-01 14:00:32,"{""event"":35,""sat"":9,""hdop"":0.9,""odometer"":37678445,""runtime"":""47567328"",""status"":""0200"",""adc1"":13,""adc2"":14,""adc3"":0,""battery"":2637,""power"":956,""eventData"":""00000001"",""fuel"":0.0,""distance"":0.24,""totalDistance"":1.915928487E7,""ip"":""43.245.8.32"",""motion"":false,""ignition"":false}"
20,35327992,20,0.0,0.0,2018-04-01 14:00:33,"{""power"":12.61,""distance"":0.0,""totalDistance"":1.362913552E7,""ip"":""43.245.8.115"",""motion"":false,""ignition"":false}"
21,35327993,272,0.0,0.0,2018-04-01 14:00:33,"{""status"":70,""ignition"":true,""charge"":true,""blocked"":false,""battery"":6,""rssi"":4,""distance"":0.0,""totalDistance"":8473967.53,""ip"":""43.245.8.85"",""motion"":false}"
22,35327997,11,0.0,0.0,2018-04-01 14:00:35,"{""event"":35,""sat"":11,""hdop"":0.8,""odometer"":123262168,""runtime"":""61999543"",""status"":""0200"",""adc1"":0,""adc2"":752,""adc3"":0,""battery"":2616,""power"":955,""eventData"":""00000001"",""fuel"":24.22,""distance"":0.83,""totalDistance"":3.618456521E7,""ip"":""43.245.8.22"",""motion"":false,""ignition"":false}"
23,35327998,45,0.0,0.0,2018-04-01 14:00:35,"{""power"":12.89,""distance"":0.0,""totalDistance"":2.112244976E7,""ip"":""43.245.8.102"",""motion"":false,""ignition"":false}"
24,35327999,190,0.0,0.0,2018-04-01 14:00:36,"{""event"":35,""sat"":11,""hdop"":0.7,""odometer"":95995663,""runtime"":""74099542"",""status"":""0000"",""adc1"":10,""adc2"":0,""adc3"":0,""battery"":2618,""power"":992,""distance"":0.0,""totalDistance"":1.231472053E7,""ip"":""43.245.8.52"",""motion"":false,""ignition"":false}"
25,35328003,182,0.0,0.0,2018-04-01 14:00:38,"{""event"":35,""sat"":10,""hdop"":1.3,""odometer"":33728764,""runtime"":""73166082"",""status"":""0000"",""adc1"":22,""adc2"":0,""adc3"":0,""battery"":2662,""power"":977,""distance"":0.0,""totalDistance"":5631159.31,""ip"":""43.245.8.10"",""motion"":false,""ignition"":false}"
26,35328008,253,0.0,0.0,2018-04-01 14:00:42,"{""status"":70,""ignition"":true,""charge"":true,""blocked"":false,""battery"":6,""rssi"":4,""distance"":0.0,""totalDistance"":3.246287236E7,""ip"":""119.160.96.164"",""motion"":false}"
27,35328010,283,0.0,0.0,2018-04-01 14:00:44,"{""event"":35,""sat"":9,""hdop"":1.2,""odometer"":1335655,""runtime"":""1140161"",""status"":""0000"",""adc1"":6,""adc2"":6,""adc3"":0,""battery"":2587,""power"":971,""eventData"":""00000001"",""fuel"":0.0,""distance"":1.67,""totalDistance"":2078939.66,""ip"":""103.228.156.8"",""motion"":false,""ignition"":false}"
28,35328014,49,0.0,0.0,2018-04-01 14:00:46,"{""power"":12.77,""distance"":0.0,""totalDistance"":9881271.26,""ip"":""119.160.65.165"",""motion"":false,""ignition"":false}"
29,35328015,198,0.0,0.0,2018-04-01 14:00:46,"{""event"":35,""sat"":12,""hdop"":0.6,""odometer"":43250034,""runtime"":""76347056"",""status"":""0000"",""adc1"":33,""adc2"":0,""adc3"":0,""battery"":2662,""power"":973,""distance"":0.0,""totalDistance"":9655096.05,""ip"":""103.228.156.86"",""motion"":false,""ignition"":false}"
